,character,direction,word_count,word_rank,BC_rank,difference,ratio
0,1_messenger,Betweeness,56,27,22,5,0.152
1,1_sergeant,Betweeness,32,30,22,8,0.242
2,2_sergeant,Betweeness,68,22,13,9,0.273
3,3_sergeant,Betweeness,44,28,8,20,0.606
4,Ballance,Betweeness,64,23,22,1,0.03
5,Baskethilt,Betweeness,38,29,22,7,0.212
6,Blanke,Words,183,15,16,1,0.03
7,Bubble,Betweeness,2409,4,2,2,0.061
8,Gartred,Words,1498,7,12,5,0.152
9,Geraldine,Words,982,8,12,4,0.121
10,Hold,Betweeness,175,16,9,7,0.212
11,Joyce,Words,2388,5,21,16,0.485
12,Lionel,Betweeness,2238,6,3,3,0.091
13,Lodge,Betweeness,61,25,20,5,0.152
14,Longfield,Betweeness,660,11,7,4,0.121
15,Ninnihammer,Betweeness,25,32,22,10,0.303
16,Phillis,Betweeness,63,24,22,2,0.061
17,Pursenet,Equal,257,14,14,0,0.0
18,Rash,Words,2773,3,4,1,0.03
19,Scattergood,Betweeness,954,9,6,3,0.091
20,Spendall,Equal,3641,1,1,0,0.0
21,Sprinkle,Betweeness,26,31,22,9,0.273
22,Staines,Words,3273,2,5,3,0.091
23,Sweatman,Words,317,13,18,5,0.152
24,Tickleman,Words,351,12,15,3,0.091
25,boy,Words,92,18,22,4,0.121
26,drawer,Betweeness,56,27,11,16,0.485
27,fox,Betweeness,78,20,10,10,0.303
28,old_Geraldine,Betweeness,60,26,22,4,0.121
29,prisoner,Words,96,17,22,5,0.152
30,servant(s),Equal,91,19,19,0,0.0
31,swaggerer,Betweeness,24,33,22,11,0.333
32,wench,Words,70,21,22,1,0.03
33,widow,Words,746,10,17,7,0.212
